Entry	Reviewed	Protein names	Gene Names	Organism	Length	InterPro	Pfam	Domain [CC]	Domain [FT]	Region
P9WH15	reviewed	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN Rv2880c/Rv2879c MTCY274.11c/MTCY274.10c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	364	IPR013785;IPR040072;IPR027492;IPR004383;IPR007197;	PF04055;		DOMAIN 112..350; /note="Radical SAM core"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01266"	
P9WH63	reviewed	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)	rpsL rps12 Rv0682 MTV040.10	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	124	IPR012340;IPR006032;IPR005679;	PF00164;			REGION 105..124; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WH77	reviewed	Vitamin B12-dependent ribonucleoside-diphosphate reductase (B12-dependent RNR) (EC 1.17.4.1) (Ribonucleotide reductase)	nrdZ Rv0570	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	706	IPR005144;IPR050862;IPR000788;IPR013509;IPR013344;IPR008926;	PF03477;PF02867;PF00317;		DOMAIN 21..109; /note="ATP-cone"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00492"	
P9WHE9	reviewed	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH Rv1416 MTCY21B4.34	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	160	IPR034964;IPR002180;IPR036467;	PF00885;			
P9WHJ1	reviewed	RecBCD enzyme subunit RecD (EC 5.6.2.3) (DNA 5'-3' helicase subunit RecB) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)	recD Rv0629c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	575	IPR050534;IPR027417;IPR006344;IPR049550;IPR041851;IPR027785;	PF13245;PF21185;PF13538;			
P9WHJ5	reviewed	RNA polymerase-binding protein RbpA	rbpA Rv2050	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	111	IPR038638;IPR025182;	PF13397;			REGION 1..24; /note="Not required for interaction with SigB"; REGION 80..111; /note="Required for oligomerization and to complement a conditional disruption mutant"
P9WHJ9	reviewed	DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA) (DNA repair protein Sms)	radA Rv3585 MTV024.03	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	480	IPR003593;IPR004504;IPR027417;IPR020588;IPR020568;IPR014721;IPR041166;	PF13481;PF13541;PF18073;	DOMAIN: Has a putative N-terminal zinc-finger, a middle region with homology to RecA with ATPase motifs including the RadA KNRFG motif, while the C-terminus is homologous to Lon protease. {ECO:0000255|HAMAP-Rule:MF_01498}.		REGION 353..480; /note="Lon-protease-like"; /evidence="ECO:0000255|HAMAP-Rule:MF_01498"; REGION 459..480; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WHK5	reviewed	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH Rv2883c MTCY274.14c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	261	IPR036393;IPR001048;IPR011817;IPR015963;	PF00696;			REGION 1..23; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WHL7	reviewed	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	purL Rv0803 MTCY07H7A.06c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	766	IPR010074;IPR041609;IPR010918;IPR036676;IPR016188;IPR036921;	PF00586;PF02769;PF18072;			
P9WHM5	reviewed	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	purN Rv0956	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	215	IPR002376;IPR036477;IPR004607;	PF00551;			
P9WHP5	reviewed	PspA protein (35 kDa protein)	pspA Rv2744c MTV002.09c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	270	IPR007157;	PF04012;			REGION 238..270; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WHU5	reviewed	Peptidoglycan endopeptidase RipB (EC 3.4.-.-) (Macrophage invasion and intracellular persistence protein B) (Resuscitation-promoting factor interaction partner B) (Rpf-interacting protein B)	ripB Rv1478	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	241	IPR000064;IPR038765;IPR051794;IPR049729;	PF00877;		DOMAIN 109..241; /note="NlpC/P60"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01284"	
P9WHV5	reviewed	Exopolyphosphatase 1 (ExopolyPase 1) (EC 3.6.1.11) (MTB-PPX1)	ppx1 Rv0496 MTCY20G9.22	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344	IPR043129;IPR050273;IPR003695;	PF02541;			REGION 319..344; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WHV9	reviewed	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Rv2984 MTCY349.03c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	742	IPR003414;IPR041108;IPR024953;IPR036830;IPR025200;IPR025198;IPR036832;	PF02503;PF13090;PF17941;PF13089;			REGION 718..742; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WHW3	reviewed	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin) (Rotamase A)	ppiA Rv0009 MTCY10H4.08	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	182	IPR029000;IPR024936;IPR020892;IPR002130;IPR044666;	PF00160;		DOMAIN 13..181; /note="PPIase cyclophilin-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00156"	
P9WHW9	reviewed	PPE family immunomodulator PPE68	PPE68 Rv3873	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	368	IPR000030;IPR038332;	PF00823;			REGION 255..280; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 312..368; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WI05	reviewed	PPE family protein PPE32	PPE32 Rv1808	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	410	IPR022171;IPR000030;IPR038332;	PF00823;PF12484;			
P9WI27	reviewed	PPE family protein PPE17	PPE17 Rv1168c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	346	IPR022171;IPR000030;IPR038332;	PF00823;PF12484;	DOMAIN: The N-terminal domain is essential for interaction with TLR2 and activation of HIV-1 LTR (PubMed:22427668). The PPE region contains the information necessary for targeting and anchorage to the cell wall (PubMed:23469198). {ECO:0000269|PubMed:22427668, ECO:0000269|PubMed:23469198}.		REGION 6..159; /note="PPE"; /evidence="ECO:0000305"
P9WI47	reviewed	PPE family protein PPE2	PPE2 Rv0256c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	556	IPR043641;IPR000030;IPR038332;	PF00823;PF18878;	DOMAIN: Contains a conserved PPE N-terminal domain and a variable C-terminal domain (PubMed:31375544). The C-terminal region includes a SH3-like region, a leucine zipper DNA-binding motif and a functional nuclear localization signal (NLS) (PubMed:28071726, PubMed:31375544). {ECO:0000269|PubMed:28071726, ECO:0000269|PubMed:31375544}.		REGION 8..164; /note="PPE"; /evidence="ECO:0000305"; REGION 201..256; /note="SH3-like"; /evidence="ECO:0000305|PubMed:31375544"; REGION 319..340; /note="Leucine zipper motif"; /evidence="ECO:0000305|PubMed:28071726"; REGION 385..418; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 443..556; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WI87	reviewed	Pilin (Pili structural subunit)	mtp Rv3312A	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	103					REGION 61..103; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WI95	reviewed	Phosphate-specific transport system accessory protein PhoU homolog 2 (Pst system accessory protein PhoU homolog 2)	phoU2 phoY2 Rv0821c MTV043.13c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	213	IPR028366;IPR038078;IPR026022;	PF01895;			
P9WIA9	reviewed	Phospholipase C D (PLC-D) (EC 3.1.4.3)	plcD Rv1755c MTCY28.21c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	280	IPR017850;IPR007312;	PF04185;			REGION 258..280; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WIB1	reviewed	Phospholipase C C (PLC-C) (EC 3.1.4.3)	plcC Rv2349c MTCY98.18c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	517	IPR017850;IPR007312;IPR006311;	PF04185;			
P9WIC5	reviewed	Chorismate pyruvate-lyase (EC 4.1.3.40) (4-HB synthase) (p-hydroxybenzoic acid synthase)	Rv2949c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	199	IPR028978;IPR002800;	PF01947;			
P9WIC9	reviewed	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA gpm gpm1 pgm Rv0489 MTCY20G9.15	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	249	IPR013078;IPR029033;IPR001345;IPR005952;	PF00300;			
P9WIE1	reviewed	Putative peroxiredoxin Rv2521 (EC 1.11.1.24) (Bacterioferritin comigratory protein) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Rv2521)	bcp bcp2 Rv2521	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	157	IPR000866;IPR024706;IPR050924;IPR036249;IPR013766;	PF00578;		DOMAIN 7..157; /note="Thioredoxin"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00691"	
P9WIG3	reviewed	PE-PGRS family protein PE_PGRS3	PE_PGRS3 Rv0278c MTV035.06c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	957	IPR000084;	PF00934;	DOMAIN: The 77 amino acids long, arginine-rich C-terminal domain plays a critical role in tuberculosis pathogenesis (PubMed:30192424, PubMed:33757409). This positively charged helical domain specifically binds phosphorylated phosphatidylinositols and cardiolipin, whereas it is unable to bind other phospholipids (PubMed:33757409). {ECO:0000269|PubMed:30192424, ECO:0000269|PubMed:33757409}.	DOMAIN 4..94; /note="PE"; /evidence="ECO:0000255"	REGION 893..957; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WIG7	reviewed	PE family immunomodulator PE35	PE35 Rv3872	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	99	IPR000084;	PF00934;		DOMAIN 1..90; /note="PE"; /evidence="ECO:0000255"	
P9WII5	reviewed	Endoribonuclease MazF4 (EC 3.1.-.-) (Toxin MazF4) (mRNA interferase MazF-mt7)	mazF4 mazF-mt7 Rv1495 MTCY277.17	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	105	IPR003477;IPR011067;	PF02452;			
P9WII7	reviewed	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	pdxT Rv2604c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	198	IPR029062;IPR002161;IPR021196;	PF01174;			
P9WII9	reviewed	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)	pdxS Rv2606c MTCY1A10.27	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	299	IPR013785;IPR001852;IPR033755;IPR011060;	PF01680;			
P9WIJ1	reviewed	Pyridoxine 5'-phosphate oxidase (PNP oxidase) (PNPOx) (EC 1.4.3.5) (Pyridoxal 5'-phosphate synthase)	pdxH Rv2607 MTCY1A10.26c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	224	IPR000659;IPR019740;IPR011576;IPR019576;IPR012349;	PF10590;PF01243;			
P9WIK1	reviewed	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)	cysD Rv1285 MTCY373.04	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	309	IPR002500;IPR014729;IPR011784;IPR050128;	PF01507;			
P9WIK7	reviewed	Trehalose-2-sulfate acyltransferase PapA2 (EC 2.3.1.288) (2-O-sulfo trehalose long-chain-acyltransferase) (Polyketide synthase-associated protein A2)	papA2 Rv3820c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	468	IPR023213;IPR001242;	PF00668;			
P9WIK9	reviewed	2'-acyl-2-O-sulfo-trehalose (hydroxy)phthioceranyltransferase PapA1 (EC 2.3.1.283) (Polyketide synthase-associated protein A1) (SL659 acyltransferase PapA1)	papA1 Rv3824c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	511	IPR023213;IPR001242;	PF00668;			
P9WIN1	reviewed	Polyphosphate glucokinase (Poly(P) glucokinase) (EC 2.7.1.63) (ATP-dependent glucokinase) (EC 2.7.1.2) (Polyphosphate--glucose phosphotransferase)	ppgK Rv2702 MTCY05A6.23	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	265	IPR043129;IPR000600;	PF00480;			REGION 1..22; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WIP3	reviewed	1,4-dihydroxy-2-naphthoate octaprenyltransferase (DHNA-octaprenyltransferase) (EC 2.5.1.74) (Isoprenyl diphosphate:1,4-dihydroxy-2-naphthoate isoprenyltransferase)	menA Rv0534c MTCY25D10.13c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	292	IPR004657;IPR000537;IPR026046;	PF01040;			
P9WIP9	reviewed	Heparin-binding hemagglutinin (Adhesin)	hbhA Rv0475 MTCY20G9.01	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	199			DOMAIN: Heparin binding seems to require the C-terminal domain of HbhA. Progressive truncations from the C-terminal end diminish the affinity for heparin.		REGION 162..199; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WIS1	reviewed	3-methyl-2-oxobutanoate dehydrogenase subunit beta (EC 1.2.4.4) (Branched-chain alpha-ketoacid dehydrogenase E1 component subunit beta) (BCKADH E1-beta)	bkdB pdhB Rv2496c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	348	IPR029061;IPR009014;IPR005475;IPR033248;	PF02779;PF02780;			
P9WIT3	reviewed	L-gulono-1,4-lactone dehydrogenase (EC 1.1.2.-)	Rv1771	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	428	IPR007173;IPR016166;IPR036318;IPR016167;IPR016169;IPR010031;IPR006094;IPR006093;IPR016171;	PF04030;PF01565;		DOMAIN 12..179; /note="FAD-binding PCMH-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00718"	
P9WIT9	reviewed	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)	argF Rv1656 MTCY06H11.21	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	307	IPR006132;IPR006130;IPR036901;IPR006131;IPR002292;IPR024904;	PF00185;PF02729;			
P9WIX5	reviewed	NAD-capped RNA hydrolase NudC (DeNADding enzyme NudC) (EC 3.6.1.-) (NADH pyrophosphatase) (EC 3.6.1.22)	nudC Rv3199c MTV014.43c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	313	IPR050241;IPR015375;IPR049734;IPR015797;IPR020084;IPR000086;IPR022925;IPR015376;	PF00293;PF09296;PF09297;		DOMAIN 168..293; /note="Nudix hydrolase"; /evidence="ECO:0000255|HAMAP-Rule:MF_00297"	
P9WIY1	reviewed	Putative 8-oxo-dGTP diphosphatase 2 (8-oxo-dGTPase 2) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase 2) (Mutator protein MutT2) (dGTP pyrophosphohydrolase 2)	mutT2 Rv1160	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	141	IPR047127;IPR020476;IPR015797;IPR020084;IPR000086;	PF00293;		DOMAIN 2..131; /note="Nudix hydrolase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00794"	
P9WIY3	reviewed	8-oxo-(d)GTP phosphatase (8-oxo-(d)GTPase) (EC 3.6.1.69) (MtuMutT1) (Mutator protein MutT1)	mutT1 Rv2985	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	317	IPR013078;IPR029033;IPR020476;IPR015797;IPR020084;IPR000086;	PF00300;PF00293;		DOMAIN 15..148; /note="Nudix hydrolase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00794"	
P9WIZ5	reviewed	Divalent metal cation transporter MntH (Mramp)	mntH Rv0924c MTCY21C12.18c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	428	IPR001046;	PF01566;			
P9WIZ7	reviewed	Putative NAD(P)H nitroreductase Rv3131	Rv3131	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344	IPR000415;IPR050627;				
P9WJ71	reviewed	Anti-sigma-D factor RsdA (Regulator of SigD) (Sigma-D anti-sigma factor RsdA)	rsdA Rv3413c MTCY78.16	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	299	IPR031928;	PF16751;	DOMAIN: The cytosolic domain interacts with ECF sigma factor SigD. {ECO:0000269|PubMed:23314154}.		REGION 24..50; /note="Interaction with sigma factor"; REGION 187..299; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WJ73	reviewed	3'-5' exoribonuclease Rv2179c (EC 3.1.13.-)	Rv2179c RVBD_2179c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	168	IPR030853;IPR012337;IPR036397;IPR033390;	PF16473;			REGION 6..9; /note="RNA binding"; /evidence="ECO:0000305|PubMed:24311791"
P9WJ83	reviewed	Copper transporter MctB (Mycobacterial copper transport protein B)	mctB Rv1698 MTCI125.20	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	314	IPR021522;	PF11382;			
P9WJ87	reviewed	Antitoxin MazE6	mazE6 mazE-mt3 Rv1991A	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	82	IPR013321;IPR002145;IPR010985;	PF01402;			
P9WJ99	reviewed	Isoniazid-induced protein IniA	iniA Rv0342	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	640	IPR045063;IPR027417;IPR051943;	PF00350;			
P9WJA5	reviewed	Probable endoribonuclease HigB1 (EC 3.1.-.-) (Toxin HigB1)	higB1 higB Rv1955	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	125	IPR009241;	PF05973;			
P9WJB5	reviewed	FHA domain-containing protein FhaB (FtsZ-interacting protein A)	fhaB fipA Rv0019c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	155	IPR050923;IPR000253;IPR008984;	PF00498;		DOMAIN 83..132; /note="FHA"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00086"	
P9WJC3	reviewed	ESX-1 secretion-associated protein EspJ (TB27.4)	espJ Rv3878	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	280					REGION 167..280; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WJC5	reviewed	ESX-1 secretion-associated protein EspI	espI Rv3876	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	666	IPR002586;IPR027417;IPR050625;	PF01656;			REGION 1..378; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WJD5	reviewed	ESX-1 secretion-associated protein EspD	espD snm10 Rv3614c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	184					REGION 33..56; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WJD7	reviewed	ESX-1 secretion-associated protein EspC	espC snm9 Rv3615c MTCY07H7B.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	103	IPR022536;	PF10824;	DOMAIN: The C-terminal region is required for secretion by the ESX-1 system. {ECO:0000269|PubMed:19682254}.		
P9WJF5	reviewed	CRISPR system Cms protein Csm5 (CRISPR type III A-associated protein Csm5)	csm5 Rv2819c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	375	IPR010173;IPR005537;	PF03787;			REGION 167..195; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WJI7	reviewed	Nicotinate phosphoribosyltransferase pncB2 (NAPRTase pncB2) (EC 6.3.4.21)	pncB2 Rv0573c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	463	IPR013785;IPR041525;IPR040727;IPR007229;IPR006405;IPR036068;	PF04095;PF17767;			
P9WJI9	reviewed	Nicotinate phosphoribosyltransferase pncB1 (NAPRTase pncB1) (EC 6.3.4.21)	pncB1 Rv1330c MTCY130.15c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	448	IPR013785;IPR041525;IPR040727;IPR007229;IPR006405;IPR036068;	PF04095;PF17767;			REGION 1..21; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 353..372; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WJJ7	reviewed	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	nadC Rv1596 MTCY336.08c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	285	IPR013785;IPR004393;IPR027277;IPR036068;IPR037128;IPR002638;IPR022412;	PF01729;PF02749;			
P9WJL3	reviewed	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE Rv2158c MTCY270.10	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	535	IPR036565;IPR004101;IPR036615;IPR013221;IPR000713;IPR035911;IPR005761;	PF01225;PF02875;PF08245;			
P9WJM1	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ Rv1315 MTCY149.01 MTCY373.35	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	418	IPR001986;IPR036968;IPR050068;IPR013792;IPR005750;	PF00275;			
P9WJM5	reviewed	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA Rv0137c MTCI5.11c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	182	IPR002569;IPR036509;	PF01625;			
P9WJM9	reviewed	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase (L-Cys:GlcN-Ins ligase) (EC 6.3.1.13) (Mycothiol ligase) (MSH ligase)	mshC cysS2 Rv2130c MTCY261.29c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	414	IPR024909;IPR017812;IPR014729;IPR032678;	PF01406;			
P9WJR9	reviewed	Cyclic pyranopterin monophosphate synthase 1 (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C 1)	moaC1 moaC Rv3111 MTCY164.21	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	170	IPR023045;IPR047594;IPR036522;IPR050105;IPR002820;	PF01967;			
P9WJS3	reviewed	GTP 3',8-cyclase 1 (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A 1)	moaA1 moaA Rv3109 MTCY164.19	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	359	IPR013785;IPR006638;IPR013483;IPR000385;IPR010505;IPR050105;IPR007197;	PF06463;PF04055;		DOMAIN 21..241; /note="Radical SAM core"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01266"	
P9WJS7	reviewed	Siderophore export accessory protein MmpS5	mmpS5 Rv0677c MTV040.05c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	142	IPR008693;IPR038468;	PF05423;			
P9WJU5	reviewed	Sulfolipid-1 exporter MmpL8	mmpL8 Rv3823c MTCY409.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1089	IPR004869;IPR050545;IPR000731;	PF03176;			REGION 1..26; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1056..1078; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WJY7	reviewed	Probable nitrate/nitrite transporter NarK2	narK2 narK-3 Rv1737c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	395	IPR011701;IPR020846;IPR036259;IPR044772;	PF07690;			
P9WJZ7	reviewed	Probable O-methyltransferase Rv1220c (MtbOMT) (EC 2.1.1.-)	Rv1220c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	224	IPR050362;IPR029063;IPR002935;	PF01596;			REGION 1..21; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
P9WK13	reviewed	Malate dehydrogenase (EC 1.1.1.37)	mdh Rv1240 MTV006.12	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	329	IPR001557;IPR022383;IPR001236;IPR015955;IPR001252;IPR010945;IPR036291;	PF02866;PF00056;			
P9WK15	reviewed	Lysine N-acyltransferase MbtK (N-acyltransferase MbtK) (EC 2.3.1.-) (Mycobactin synthase protein K)	mbtK Rv1347c MTCY02B10.11c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	210	IPR016181;IPR019432;	PF13523;			
P9WK41	reviewed	Lipoprotein LprI (Glycolipoprotein LprI) (Lysozyme inhibitor LprI)	lprI Rv1541c MTCY48.24	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	197	IPR009739;IPR052755;IPR018660;IPR036328;	PF07007;PF09864;			
P9WK91	reviewed	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA Rv2218 MTCY190.29	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	311	IPR013785;IPR006638;IPR031691;IPR003698;IPR007197;	PF16881;PF04055;		DOMAIN 67..281; /note="Radical SAM core"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01266"	
P9WKA5	reviewed	Putative diacyglycerol O-acyltransferase Rv3740c (EC 2.3.1.20) (Putative triacylglycerol synthase Rv3740c)	Rv3740c MTV025.088c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	448	IPR014292;IPR045034;IPR009721;IPR004255;	PF06974;PF03007;			
