gene_id,locus_tag,gene_name,cds_length,wt_logprob,mut_logprob,delta_ll
Rv1011,Rv1011,ispE,918,-0.55078125,-0.5859375,-0.03515625
Rv1012,Rv1012,NA,291,-0.5859375,-0.578125,0.0078125
Rv1013,Rv1013,pks16,1632,-0.5703125,-0.62890625,-0.05859375
Rv1014c,Rv1014c,pth,573,-0.54296875,-0.57421875,-0.03125
Rv1015c,Rv1015c,rplY,645,-0.546875,-0.57421875,-0.02734375
Rv1016c,Rv1016c,lpqT,678,-0.5390625,-0.55078125,-0.01171875
Rv1017c,Rv1017c,prsA,978,-0.498046875,-0.5625,-0.064453125
Rv1018c,Rv1018c,glmU,1485,-0.46875,-0.53515625,-0.06640625
Rv1019,Rv1019,NA,591,-0.52734375,-0.57421875,-0.046875
Rv1020,Rv1020,mfd,3702,-0.54296875,-0.6171875,-0.07421875
Rv1021,Rv1021,NA,975,-0.55859375,-0.58203125,-0.0234375
Rv1022,Rv1022,lpqU,729,-0.5859375,-0.60546875,-0.01953125
Rv1023,Rv1023,eno,1287,-0.5625,-0.61328125,-0.05078125
Rv1024,Rv1024,NA,684,-0.609375,-0.6171875,-0.0078125
Rv1025,Rv1025,NA,465,-0.609375,-0.63671875,-0.02734375
Rv1026,Rv1026,NA,957,-0.609375,-0.62890625,-0.01953125
Rv1027c,Rv1027c,kdpE,678,-0.58203125,-0.6171875,-0.03515625
Rv1028c,Rv1028c,kdpD,2580,-0.578125,-0.6171875,-0.0390625
Rv1028A,Rv1028A,kdpF,90,-0.61328125,-0.625,-0.01171875
Rv1029,Rv1029,kdpA,1713,-0.62890625,-0.63671875,-0.0078125
Rv1030,Rv1030,kdpB,2127,-0.6484375,-0.6640625,-0.015625
Rv1031,Rv1031,kdpC,567,-0.66796875,-0.67578125,-0.0078125
Rv1032c,Rv1032c,trcS,1527,-0.66015625,-0.6640625,-0.00390625
Rv1033c,Rv1033c,trcR,771,-0.6640625,-0.7109375,-0.046875
Rv1037c,Rv1037c,esxI,282,-0.80078125,-0.80859375,-0.0078125
Rv1038c,Rv1038c,esxJ,294,-0.8125,-0.828125,-0.015625
Rv1039c,Rv1039c,PPE15,1173,-0.85546875,-0.8046875,0.05078125
Rv1040c,Rv1040c,PE8,825,-0.921875,-0.88671875,0.03515625
Rv1041c,Rv1041c,NA,861,-1.0078125,-0.9765625,0.03125
Rv1042c,Rv1042c,NA,405,-1.03125,-1.0234375,0.0078125
Rv1043c,Rv1043c,NA,1023,-0.96875,-0.88671875,0.08203125
Rv1044,Rv1044,NA,621,-1.0234375,-0.9921875,0.03125
Rv1045,Rv1045,NA,879,-1.03125,-0.96484375,0.06640625
Rv1047,Rv1047,NA,1245,-1.0078125,-0.98828125,0.01953125
Rv1048c,Rv1048c,NA,1113,-1.0234375,-0.93359375,0.08984375
Rv1049,Rv1049,NA,444,-1.0390625,-1.0078125,0.03125
Rv1050,Rv1050,NA,903,-1.0234375,-0.95703125,0.06640625
Rv1051c,Rv1051c,NA,753,-1,-0.953125,0.046875
Rv1052,Rv1052,NA,387,-1.078125,-1.0390625,0.0390625
Rv1056,Rv1056,NA,762,-0.97265625,-0.953125,0.01953125
Rv1057,Rv1057,NA,1179,-0.8828125,-0.8125,0.0703125
Rv1058,Rv1058,fadD14,1629,-0.796875,-0.80859375,-0.01171875
Rv1059,Rv1059,NA,1062,-0.78125,-0.7890625,-0.0078125
Rv1060,Rv1060,NA,471,-0.703125,-0.69921875,0.00390625
Rv1061,Rv1061,NA,861,-0.68359375,-0.6875,-0.00390625
Rv1062,Rv1062,NA,855,-0.66015625,-0.6640625,-0.00390625
Rv1063c,Rv1063c,NA,1080,-0.65234375,-0.6640625,-0.01171875
Rv1064c,Rv1064c,lpqV,417,-0.67578125,-0.671875,0.00390625
Rv1065,Rv1065,NA,564,-0.69140625,-0.70703125,-0.015625
Rv1066,Rv1066,NA,393,-0.69921875,-0.70703125,-0.0078125
Rv1067c,Rv1067c,PE_PGRS19,2001,-0.66015625,-0.625,0.03515625
Rv1068c,Rv1068c,PE_PGRS20,1389,-0.63671875,-0.62890625,0.0078125
Rv1069c,Rv1069c,NA,1761,-0.625,-0.65625,-0.03125
Rv1070c,Rv1070c,echA8,771,-0.625,-0.65625,-0.03125
Rv1071c,Rv1071c,echA9,1035,-0.59765625,-0.62890625,-0.03125
Rv1072,Rv1072,NA,834,-0.62890625,-0.66015625,-0.03125
Rv1073,Rv1073,NA,849,-0.625,-0.62890625,-0.00390625
Rv1074c,Rv1074c,fadA3,1215,-0.578125,-0.6328125,-0.0546875
Rv1075c,Rv1075c,NA,942,-0.59765625,-0.61328125,-0.015625
Rv1076,Rv1076,lipU,891,-0.6015625,-0.625,-0.0234375
Rv1077,Rv1077,cbs,1392,-0.60546875,-0.6484375,-0.04296875
Rv1078,Rv1078,NA,720,-0.609375,-0.61328125,-0.00390625
Rv1079,Rv1079,metB,1164,-0.58984375,-0.625,-0.03515625
Rv1080c,Rv1080c,greA,492,-0.53125,-0.5703125,-0.0390625
Rv1081c,Rv1081c,NA,432,-0.53125,-0.55078125,-0.01953125
Rv1082,Rv1082,mca,864,-0.55859375,-0.60546875,-0.046875
Rv1083,Rv1083,NA,264,-0.55859375,-0.57421875,-0.015625
Rv1084,Rv1084,NA,2019,-0.58984375,-0.62109375,-0.03125
Rv1085c,Rv1085c,NA,726,-0.6640625,-0.6796875,-0.015625
Rv1086,Rv1086,NA,786,-0.69140625,-0.7265625,-0.03515625
Rv1087,Rv1087,PE_PGRS21,2301,-0.74609375,-0.66015625,0.0859375
Rv1088,Rv1088,PE9,432,-0.82421875,-0.8046875,0.01953125
Rv1088a,Rv1088a,NA,180,-0.84765625,-0.83984375,0.0078125
Rv1091,Rv1091,PE_PGRS22,2559,-0.78515625,-0.6796875,0.10546875
Rv1092c,Rv1092c,coaA,936,-0.64453125,-0.68359375,-0.0390625
Rv1093,Rv1093,glyA1,1278,-0.609375,-0.65234375,-0.04296875
Rv1094,Rv1094,desA2,825,-0.59375,-0.625,-0.03125
Rv1095,Rv1095,phoH2,1299,-0.54296875,-0.60546875,-0.0625
Rv1096,Rv1096,NA,873,-0.53515625,-0.57421875,-0.0390625
Rv1097c,Rv1097c,NA,879,-0.51171875,-0.51171875,0
Rv1098c,Rv1098c,fum,1422,-0.5546875,-0.60546875,-0.05078125
Rv1099c,Rv1099c,glpX,1086,-0.58203125,-0.625,-0.04296875
Rv1100,Rv1100,NA,699,-0.640625,-0.65234375,-0.01171875
Rv1101c,Rv1101c,NA,1155,-0.62109375,-0.63671875,-0.015625
Rv1102c,Rv1102c,mazF3,309,-0.5859375,-0.6015625,-0.015625
Rv1103c,Rv1103c,mazE3,318,-0.5859375,-0.59375,-0.0078125
Rv1106c,Rv1106c,NA,1110,-0.65625,-0.6875,-0.03125
Rv1107c,Rv1107c,xseB,255,-0.65234375,-0.6640625,-0.01171875
Rv1108c,Rv1108c,xseA,1245,-0.6171875,-0.65625,-0.0390625
Rv1109c,Rv1109c,NA,636,-0.61328125,-0.640625,-0.02734375
Rv1110,Rv1110,lytB2,1005,-0.70703125,-0.73046875,-0.0234375
Rv1111c,Rv1111c,NA,981,-0.69140625,-0.67578125,0.015625
Rv1112,Rv1112,NA,1071,-0.734375,-0.75390625,-0.01953125
Rv1113,Rv1113,vapB32,195,-0.80078125,-0.80859375,-0.0078125
Rv1114,Rv1114,vapC32,372,-0.79296875,-0.7890625,0.00390625
Rv1115,Rv1115,NA,696,-0.7578125,-0.734375,0.0234375
Rv1116,Rv1116,NA,183,-0.78515625,-0.7734375,0.01171875
Rv1117,Rv1117,NA,321,-0.75,-0.765625,-0.015625
Rv1118c,Rv1118c,NA,858,-0.7109375,-0.7265625,-0.015625
Rv1119c,Rv1119c,NA,147,-0.7421875,-0.74609375,-0.00390625
Rv1120c,Rv1120c,NA,492,-0.75,-0.7421875,0.0078125
Rv1121,Rv1121,zwf1,1398,-0.76171875,-0.76171875,0
Rv1122,Rv1122,gnd2,1020,-0.7109375,-0.73828125,-0.02734375
Rv1123c,Rv1123c,bpoB,906,-0.65234375,-0.65234375,0
Rv1124,Rv1124,ephC,948,-0.69921875,-0.7109375,-0.01171875
Rv1125,Rv1125,NA,1242,-0.69140625,-0.6796875,0.01171875
Rv1126c,Rv1126c,NA,603,-0.6796875,-0.6796875,0
Rv1127c,Rv1127c,ppdK,1470,-0.67578125,-0.671875,0.00390625
Rv1128c,Rv1128c,NA,1353,-0.6484375,-0.65234375,-0.00390625
Rv1129c,Rv1129c,NA,1458,-0.6328125,-0.64453125,-0.01171875
Rv1130,Rv1130,prpD,1578,-0.58203125,-0.6171875,-0.03515625
Rv1131,Rv1131,prpC,1179,-0.5546875,-0.59375,-0.0390625
Rv1132,Rv1132,NA,1728,-0.578125,-0.61328125,-0.03515625
Rv1133c,Rv1133c,metE,2277,-0.62890625,-0.671875,-0.04296875
Rv1134,Rv1134,NA,234,-0.703125,-0.6953125,0.0078125
Rv1135c,Rv1135c,PPE16,1854,-0.6953125,-0.6484375,0.046875
Rv1138a,Rv1138a,NA,402,-0.8359375,-0.80859375,0.02734375
Rv1138c,Rv1138c,NA,1014,-0.8046875,-0.8046875,0
Rv1139c,Rv1139c,NA,498,-0.76171875,-0.76953125,-0.0078125
Rv1140,Rv1140,NA,846,-0.7734375,-0.75390625,0.01953125
Rv1141c,Rv1141c,echA11,804,-0.77734375,-0.7734375,0.00390625
Rv1142c,Rv1142c,echA10,804,-0.73046875,-0.73046875,0
Rv1143,Rv1143,mcr,1080,-0.71484375,-0.73046875,-0.015625
Rv1144,Rv1144,NA,750,-0.71875,-0.73046875,-0.01171875
Rv1145,Rv1145,NA,909,-0.70703125,-0.734375,-0.02734375
Rv1146,Rv1146,NA,1410,-0.7109375,-0.71484375,-0.00390625
Rv1147,Rv1147,NA,648,-0.70703125,-0.7109375,-0.00390625
Rv1148c,Rv1148c,NA,1446,-0.71875,-0.70703125,0.01171875
Rv1149,Rv1149,NA,405,-0.7265625,-0.73046875,-0.00390625
Rv1151c,Rv1151c,NA,711,-0.70703125,-0.7265625,-0.01953125
Rv1152,Rv1152,NA,363,-0.703125,-0.72265625,-0.01953125
Rv1153c,Rv1153c,omt,846,-0.71484375,-0.7265625,-0.01171875
Rv1154c,Rv1154c,NA,639,-0.70703125,-0.71875,-0.01171875
Rv1155,Rv1155,NA,441,-0.703125,-0.71875,-0.015625
Rv1155a,Rv1155a,NA,186,-0.67578125,-0.6875,-0.01171875
Rv1156,Rv1156,NA,585,-0.67578125,-0.69140625,-0.015625
Rv1157c,Rv1157c,NA,1113,-0.64453125,-0.6484375,-0.00390625
Rv1158c,Rv1158c,NA,681,-0.6640625,-0.6484375,0.015625
Rv1159,Rv1159,pimE,1293,-0.65234375,-0.66015625,-0.0078125
Rv1159A,Rv1159A,NA,282,-0.64453125,-0.65625,-0.01171875
Rv1160,Rv1160,mutT2,423,-0.62109375,-0.62890625,-0.0078125
Rv1161,Rv1161,narG,3696,-0.59375,-0.65625,-0.0625
Rv1162,Rv1162,narH,1674,-0.5078125,-0.58203125,-0.07421875
Rv1163,Rv1163,narJ,603,-0.494140625,-0.51953125,-0.025390625
Rv1164,Rv1164,narI,738,-0.515625,-0.54296875,-0.02734375
Rv1165,Rv1165,typA,1884,-0.63671875,-0.66796875,-0.03125
Rv1166,Rv1166,lpqW,1905,-0.703125,-0.7109375,-0.0078125
Rv1167c,Rv1167c,NA,603,-0.73046875,-0.71875,0.01171875
Rv1168c,Rv1168c,PPE17,1038,-0.73828125,-0.69140625,0.046875
Rv1169c,Rv1169c,lipX,300,-0.76171875,-0.75390625,0.0078125
Rv1170,Rv1170,mshB,909,-0.7421875,-0.75,-0.0078125
Rv1171,Rv1171,NA,438,-0.765625,-0.76953125,-0.00390625
Rv1172c,Rv1172c,PE12,924,-0.74609375,-0.7109375,0.03515625
Rv1173,Rv1173,fbiC,2568,-0.69921875,-0.734375,-0.03515625
Rv1174c,Rv1174c,TB8.4,330,-0.60546875,-0.61328125,-0.0078125
Rv1175c,Rv1175c,fadH,2022,-0.6640625,-0.68359375,-0.01953125
Rv1176c,Rv1176c,NA,567,-0.6640625,-0.6796875,-0.015625
Rv1177,Rv1177,fdxC,324,-0.7421875,-0.76953125,-0.02734375
Rv1178,Rv1178,NA,1086,-0.76953125,-0.77734375,-0.0078125
Rv1179c,Rv1179c,NA,2817,-0.73046875,-0.64453125,0.0859375
Rv1180,Rv1180,pks3,1464,-0.80859375,-0.7890625,0.01953125
Rv1181,Rv1181,pks4,4746,-0.78515625,-0.73828125,0.046875
Rv1182,Rv1182,papA3,1416,-0.78515625,-0.75,0.03515625
Rv1183,Rv1183,mmpL10,3006,-0.78125,-0.73828125,0.04296875
Rv1184c,Rv1184c,NA,1077,-0.73828125,-0.69921875,0.0390625
Rv1185c,Rv1185c,fadD21,1734,-0.6875,-0.6875,0
Rv1186c,Rv1186c,NA,1614,-0.69921875,-0.6953125,0.00390625
Rv1187,Rv1187,rocA,1629,-0.71484375,-0.73828125,-0.0234375
Rv1188,Rv1188,NA,987,-0.6875,-0.69140625,-0.00390625
Rv1189,Rv1189,sigI,870,-0.68359375,-0.6640625,0.01953125
Rv1190,Rv1190,NA,876,-0.69921875,-0.66796875,0.03125
Rv1191,Rv1191,NA,912,-0.7265625,-0.73046875,-0.00390625
Rv1192,Rv1192,NA,825,-0.76171875,-0.73828125,0.0234375
Rv1193,Rv1193,fadD36,1419,-0.78125,-0.78125,0
Rv1194c,Rv1194c,NA,1263,-0.734375,-0.7109375,0.0234375
Rv1195,Rv1195,PE13,297,-0.734375,-0.734375,0
Rv1196,Rv1196,PPE18,1173,-0.7265625,-0.69921875,0.02734375
Rv1197,Rv1197,esxK,294,-0.73046875,-0.75,-0.01953125
Rv1198,Rv1198,esxL,282,-0.734375,-0.75,-0.015625
Rv1199c,Rv1199c,NA,1245,-0.7265625,-0.75,-0.0234375
Rv1200,Rv1200,NA,1275,-0.6953125,-0.68359375,0.01171875
Rv1201c,Rv1201c,dapD,951,-0.6953125,-0.71484375,-0.01953125
Rv1202,Rv1202,dapE,1062,-0.68359375,-0.703125,-0.01953125
Rv1203c,Rv1203c,NA,582,-0.68359375,-0.6796875,0.00390625
Rv1204c,Rv1204c,NA,1686,-0.66015625,-0.6328125,0.02734375
Rv1205,Rv1205,NA,561,-0.6484375,-0.65625,-0.0078125
Rv1206,Rv1206,fadD6,1791,-0.65625,-0.67578125,-0.01953125
Rv1207,Rv1207,folP2,954,-0.66015625,-0.6796875,-0.01953125
Rv1208,Rv1208,gpgS,972,-0.609375,-0.63671875,-0.02734375
Rv1209,Rv1209,NA,366,-0.59375,-0.609375,-0.015625
Rv1210,Rv1210,tagA,612,-0.5859375,-0.609375,-0.0234375
Rv1211,Rv1211,NA,225,-0.609375,-0.625,-0.015625
Rv1212c,Rv1212c,glgA,1161,-0.625,-0.65234375,-0.02734375
Rv1213,Rv1213,glgC,1212,-0.6171875,-0.66796875,-0.05078125
Rv1214c,Rv1214c,PE14,330,-0.6640625,-0.66015625,0.00390625
Rv1215c,Rv1215c,NA,1683,-0.62109375,-0.62109375,0
Rv1216c,Rv1216c,NA,672,-0.62109375,-0.625,-0.00390625
Rv1217c,Rv1217c,NA,1644,-0.65234375,-0.6640625,-0.01171875
Rv1218c,Rv1218c,NA,933,-0.66015625,-0.69921875,-0.0390625
Rv1219c,Rv1219c,NA,636,-0.6328125,-0.65625,-0.0234375
Rv1220c,Rv1220c,NA,645,-0.6328125,-0.65625,-0.0234375
Rv1221,Rv1221,sigE,771,-0.64453125,-0.6796875,-0.03515625
Rv1222,Rv1222,rseA,462,-0.66796875,-0.6796875,-0.01171875
Rv1223,Rv1223,htrA,1584,-0.69921875,-0.7109375,-0.01171875
Rv1224,Rv1224,tatB,393,-0.75390625,-0.7578125,-0.00390625
Rv1225c,Rv1225c,NA,828,-0.72265625,-0.71484375,0.0078125
Rv1226c,Rv1226c,NA,1461,-0.7265625,-0.70703125,0.01953125
Rv1227c,Rv1227c,NA,531,-0.7265625,-0.73828125,-0.01171875
Rv1228,Rv1228,lpqX,555,-0.71875,-0.6875,0.03125
Rv1228a,Rv1228a,NA,171,-0.734375,-0.734375,0
Rv1229c,Rv1229c,mrp,1170,-0.75390625,-0.76953125,-0.015625
Rv1230c,Rv1230c,NA,1233,-0.73046875,-0.71484375,0.015625
Rv1231c,Rv1231c,NA,540,-0.7109375,-0.72265625,-0.01171875
Rv1232c,Rv1232c,NA,1305,-0.67578125,-0.6953125,-0.01953125
Rv1233c,Rv1233c,NA,594,-0.58984375,-0.58984375,0
Rv1234,Rv1234,NA,525,-0.625,-0.6484375,-0.0234375
Rv1235,Rv1235,lpqY,1404,-0.60546875,-0.63671875,-0.03125
Rv1236,Rv1236,sugA,921,-0.5703125,-0.60546875,-0.03515625
Rv1237,Rv1237,sugB,822,-0.59765625,-0.6328125,-0.03515625
Rv1238,Rv1238,sugC,1179,-0.59765625,-0.62890625,-0.03125
Rv1239c,Rv1239c,corA,1098,-0.59765625,-0.625,-0.02734375
Rv1240,Rv1240,mdh,987,-0.6171875,-0.65625,-0.0390625
Rv1241,Rv1241,vapB33,258,-0.640625,-0.6484375,-0.0078125
Rv1242,Rv1242,vapC33,429,-0.65625,-0.66015625,-0.00390625
Rv1243c,Rv1243c,PE_PGRS23,1686,-0.6328125,-0.58984375,0.04296875
Rv1244,Rv1244,lpqZ,858,-0.6171875,-0.6171875,0
Rv1245c,Rv1245c,NA,828,-0.578125,-0.609375,-0.03125
Rv1246c,Rv1246c,relE,291,-0.5859375,-0.59375,-0.0078125
Rv1247c,Rv1247c,relB,267,-0.5859375,-0.6015625,-0.015625
Rv1248c,Rv1248c,NA,3693,-0.625,-0.68359375,-0.05859375
Rv1249c,Rv1249c,NA,786,-0.62109375,-0.625,-0.00390625
Rv1250,Rv1250,NA,1737,-0.60546875,-0.61328125,-0.0078125
Rv1251c,Rv1251c,NA,3417,-0.6171875,-0.6328125,-0.015625
Rv1252c,Rv1252c,lprE,606,-0.59765625,-0.609375,-0.01171875
Rv1253,Rv1253,deaD,1689,-0.57421875,-0.609375,-0.03515625
Rv1254,Rv1254,NA,1149,-0.57421875,-0.609375,-0.03515625
Rv1255c,Rv1255c,NA,606,-0.5703125,-0.59765625,-0.02734375
Rv1256c,Rv1256c,cyp130,1215,-0.57421875,-0.61328125,-0.0390625
Rv1257c,Rv1257c,NA,1365,-0.578125,-0.62109375,-0.04296875
Rv1258c,Rv1258c,NA,1257,-0.5859375,-0.6015625,-0.015625
Rv1259,Rv1259,udgB,897,-0.59375,-0.609375,-0.015625
Rv1260,Rv1260,NA,1116,-0.63671875,-0.65234375,-0.015625
Rv1261c,Rv1261c,NA,447,-0.64453125,-0.65625,-0.01171875
Rv1262c,Rv1262c,NA,432,-0.67578125,-0.69140625,-0.015625
Rv1263,Rv1263,amiB2,1386,-0.66015625,-0.671875,-0.01171875
Rv1264,Rv1264,NA,1191,-0.67578125,-0.67578125,0
Rv1265,Rv1265,NA,678,-0.71875,-0.72265625,-0.00390625
Rv1266c,Rv1266c,pknH,1878,-0.7421875,-0.7421875,0
Rv1267c,Rv1267c,embR,1164,-0.7578125,-0.75390625,0.00390625
Rv1268c,Rv1268c,NA,696,-0.734375,-0.72265625,0.01171875
Rv1269c,Rv1269c,NA,372,-0.734375,-0.7265625,0.0078125
Rv1270c,Rv1270c,lprA,732,-0.6953125,-0.68359375,0.01171875
Rv1271c,Rv1271c,NA,339,-0.73828125,-0.73046875,0.0078125
Rv1272c,Rv1272c,NA,1893,-0.7109375,-0.73046875,-0.01953125
Rv1273c,Rv1273c,NA,1746,-0.65234375,-0.6875,-0.03515625
Rv1274,Rv1274,lprB,555,-0.62109375,-0.6484375,-0.02734375
Rv1275,Rv1275,lprC,540,-0.63671875,-0.66015625,-0.0234375
Rv1276c,Rv1276c,NA,474,-0.6015625,-0.6171875,-0.015625
Rv1277,Rv1277,NA,1251,-0.65625,-0.68359375,-0.02734375
Rv1278,Rv1278,NA,2625,-0.63671875,-0.62109375,0.015625
Rv1279,Rv1279,NA,1584,-0.609375,-0.6171875,-0.0078125
Rv1280c,Rv1280c,oppA,1773,-0.578125,-0.60546875,-0.02734375
Rv1281c,Rv1281c,oppD,1836,-0.53515625,-0.59375,-0.05859375
Rv1282c,Rv1282c,oppC,873,-0.50390625,-0.5546875,-0.05078125
Rv1283c,Rv1283c,oppB,975,-0.5,-0.5546875,-0.0546875
Rv1284,Rv1284,canA,489,-0.54296875,-0.56640625,-0.0234375
Rv1285,Rv1285,cysD,996,-0.55859375,-0.6015625,-0.04296875
Rv1286,Rv1286,NA,1842,-0.66015625,-0.69921875,-0.0390625
Rv1287,Rv1287,NA,483,-0.7421875,-0.75390625,-0.01171875
Rv1288,Rv1288,NA,1368,-0.7578125,-0.75,0.0078125
Rv1289,Rv1289,NA,630,-0.7734375,-0.73046875,0.04296875
Rv1290c,Rv1290c,NA,1563,-0.7109375,-0.66015625,0.05078125
Rv1290A,Rv1290A,NA,312,-0.7890625,-0.76953125,0.01953125
Rv1291c,Rv1291c,NA,333,-0.73828125,-0.734375,0.00390625
Rv1292,Rv1292,argS,1650,-0.71875,-0.74609375,-0.02734375
Rv1293,Rv1293,lysA,1341,-0.62890625,-0.66015625,-0.03125
Rv1294,Rv1294,thrA,1323,-0.5546875,-0.6015625,-0.046875
Rv1295,Rv1295,thrC,1080,-0.5,-0.5625,-0.0625
Rv1296,Rv1296,thrB,948,-0.51953125,-0.5703125,-0.05078125
Rv1297,Rv1297,rho,1806,-0.53125,-0.57421875,-0.04296875
Rv1298,Rv1298,rpmE,240,-0.54296875,-0.5703125,-0.02734375
Rv1299,Rv1299,prfA,1071,-0.56640625,-0.62109375,-0.0546875
Rv1300,Rv1300,hemK,975,-0.59765625,-0.6171875,-0.01953125
Rv1301,Rv1301,NA,651,-0.5625,-0.6015625,-0.0390625
Rv1302,Rv1302,rfe,1212,-0.55078125,-0.60546875,-0.0546875
Rv1303,Rv1303,NA,483,-0.55078125,-0.578125,-0.02734375
Rv1304,Rv1304,atpB,750,-0.546875,-0.58984375,-0.04296875
Rv1305,Rv1305,atpE,243,-0.55078125,-0.58203125,-0.03125
Rv1306,Rv1306,atpF,513,-0.5546875,-0.5859375,-0.03125
Rv1307,Rv1307,atpH,1338,-0.52734375,-0.5546875,-0.02734375
Rv1308,Rv1308,atpA,1647,-0.52734375,-0.58984375,-0.0625
Rv1309,Rv1309,atpG,915,-0.51171875,-0.55859375,-0.046875
Rv1310,Rv1310,atpD,1458,-0.498046875,-0.56640625,-0.068359375
Rv1311,Rv1311,atpC,363,-0.462890625,-0.5,-0.037109375
Rv1312,Rv1312,NA,441,-0.45703125,-0.490234375,-0.033203125
Rv1313c,Rv1313c,NA,1332,-0.39453125,-0.458984375,-0.064453125
Rv1314c,Rv1314c,NA,579,-0.37890625,-0.423828125,-0.044921875
Rv1315,Rv1315,murA,1254,-0.345703125,-0.427734375,-0.08203125
Rv1316c,Rv1316c,ogt,495,-0.41015625,-0.44140625,-0.03125
Rv1317c,Rv1317c,alkA,1488,-0.474609375,-0.5234375,-0.048828125
Rv1318c,Rv1318c,NA,1623,-0.54296875,-0.58203125,-0.0390625
Rv1319c,Rv1319c,NA,1605,-0.6328125,-0.64453125,-0.01171875
Rv1320c,Rv1320c,NA,1701,-0.625,-0.63671875,-0.01171875
Rv1321,Rv1321,NA,678,-0.68359375,-0.71484375,-0.03125
Rv1322,Rv1322,NA,294,-0.65625,-0.6640625,-0.0078125
Rv1322A,Rv1322A,NA,456,-0.66015625,-0.6796875,-0.01953125
Rv1323,Rv1323,fadA4,1167,-0.671875,-0.703125,-0.03125
Rv1324,Rv1324,NA,912,-0.60546875,-0.625,-0.01953125
Rv1325c,Rv1325c,PE_PGRS24,1809,-0.5625,-0.53515625,0.02734375
Rv1326c,Rv1326c,glgB,2193,-0.52734375,-0.59765625,-0.0703125
Rv1327c,Rv1327c,glgE,2103,-0.5234375,-0.59375,-0.0703125
Rv1328,Rv1328,glgP,2589,-0.5234375,-0.59375,-0.0703125
Rv1329c,Rv1329c,dinG,1992,-0.5546875,-0.59375,-0.0390625
Rv1330c,Rv1330c,pncB1,1344,-0.55078125,-0.5859375,-0.03515625
Rv1331,Rv1331,NA,303,-0.58203125,-0.62890625,-0.046875
Rv1332,Rv1332,NA,654,-0.578125,-0.6015625,-0.0234375
Rv1333,Rv1333,NA,1032,-0.5703125,-0.59765625,-0.02734375
Rv1334,Rv1334,mec,438,-0.5859375,-0.609375,-0.0234375
Rv1335,Rv1335,cysO,279,-0.5546875,-0.57421875,-0.01953125
Rv1336,Rv1336,cysM,969,-0.5390625,-0.5859375,-0.046875
Rv1337,Rv1337,NA,720,-0.5625,-0.5859375,-0.0234375
Rv1338,Rv1338,murI,813,-0.59375,-0.6328125,-0.0390625
Rv1339,Rv1339,NA,819,-0.58203125,-0.61328125,-0.03125
Rv1340,Rv1340,rphA,777,-0.57421875,-0.61328125,-0.0390625
Rv1341,Rv1341,NA,612,-0.58203125,-0.609375,-0.02734375
Rv1342c,Rv1342c,NA,360,-0.609375,-0.6328125,-0.0234375
Rv1343c,Rv1343c,lprD,378,-0.62890625,-0.65234375,-0.0234375
Rv1344,Rv1344,mbtL,318,-0.6484375,-0.65625,-0.0078125
Rv1345,Rv1345,mbtM,1563,-0.63671875,-0.640625,-0.00390625
Rv1346,Rv1346,mbtN,1158,-0.6484375,-0.6640625,-0.015625
Rv1347c,Rv1347c,mbtK,630,-0.67578125,-0.67578125,0
Rv1348,Rv1348,irtA,2577,-0.734375,-0.7421875,-0.0078125
Rv1349,Rv1349,irtB,1737,-0.7421875,-0.734375,0.0078125
Rv1350,Rv1350,fabG2,741,-0.7578125,-0.765625,-0.0078125
Rv1351,Rv1351,NA,327,-0.77734375,-0.76171875,0.015625
Rv1352,Rv1352,NA,369,-0.79296875,-0.77734375,0.015625
Rv1353c,Rv1353c,NA,783,-0.7890625,-0.78125,0.0078125
Rv1354c,Rv1354c,NA,1869,-0.85546875,-0.80859375,0.046875
Rv1355c,Rv1355c,moeY,2145,-0.94140625,-0.8671875,0.07421875
Rv1356c,Rv1356c,NA,789,-0.94140625,-0.90234375,0.0390625
Rv1357c,Rv1357c,NA,921,-0.95703125,-0.8984375,0.05859375
Rv1358,Rv1358,NA,3477,-0.984375,-0.84765625,0.13671875
Rv1359,Rv1359,NA,750,-0.9375,-0.88671875,0.05078125
Rv1360,Rv1360,NA,1020,-0.921875,-0.90234375,0.01953125
Rv1361c,Rv1361c,PPE19,1188,-0.92578125,-0.8671875,0.05859375
Rv1362c,Rv1362c,NA,660,-0.94140625,-0.91796875,0.0234375
Rv1363c,Rv1363c,NA,783,-0.95703125,-0.93359375,0.0234375
Rv1364c,Rv1364c,NA,1959,-0.9140625,-0.84375,0.0703125
Rv1365c,Rv1365c,rsfA,384,-0.921875,-0.90234375,0.01953125
Rv1366,Rv1366,NA,819,-0.859375,-0.8046875,0.0546875
Rv1366A,Rv1366A,NA,258,-0.875,-0.86328125,0.01171875
Rv1367c,Rv1367c,NA,1131,-0.8671875,-0.86328125,0.00390625
Rv1368,Rv1368,lprF,783,-0.921875,-0.87109375,0.05078125
Rv1371,Rv1371,NA,1467,-0.9296875,-0.8359375,0.09375
Rv1372,Rv1372,NA,1179,-0.98828125,-0.90625,0.08203125
Rv1373,Rv1373,NA,978,-0.96484375,-0.90625,0.05859375
Rv1374c,Rv1374c,NA,456,-0.9453125,-0.9140625,0.03125
Rv1375,Rv1375,NA,1317,-0.94921875,-0.86328125,0.0859375
Rv1376,Rv1376,NA,1491,-0.828125,-0.74609375,0.08203125
Rv1377c,Rv1377c,NA,636,-0.78515625,-0.78125,0.00390625
